"Carbon dioxide emissions, per unit of GDP (kg per 2010 US$ of GDP)"
"Dimension: Environmental sustainability"
"SDG 9.4 By 2030, upgrade infrastructure and retrofit industries to make them sustainable, with increased resource-use efficiency and greater adoption of clean and environmentally sound technologies and industrial processes, with all countries taking action in accordance with their respective capabilities"
"Definition: Human-originated carbon dioxide emissions stemming from the burning of fossil fuels, gas flaring and cement manufacture, expressed in kilograms per unit of gross domestic product (GDP) in constant 2010 US dollars. Carbon dioxide emitted by forest biomass through depletion of forest areas is included."
"Source: United Nations Statistics Division (2020a). Global SDG Indicators Database. https://unstats.un.org/sdgs/indicators/database/. Accessed 21 July 2020."
""
"HDI Rank","Country","2000","","2005","","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017",""
"51"," Kazakhstan","0.77","","0.66","","0.69","","0.68","","0.65","","0.65","","0.57","","0.61","","0.62","","0.60",""
"143"," Kenya","0.12","","0.10","","0.11","","0.11","","0.09","","0.10","","0.10","","0.11","","0.12","","0.11",""
".."," Korea (Democratic People's Rep. of)","0.63","","0.69","","0.49","","0.36","","0.37","","0.25","","0.29","","0.22","","0.25","","0.19",""
"23"," Korea (Republic of)","0.44","","0.37","","0.37","","0.37","","0.36","","0.35","","0.33","","0.33","","0.33","","0.32",""
"64"," Kuwait","0.33","","0.31","","0.35","","0.32","","0.30","","0.33","","0.31","","0.35","","0.34","","0.34",""
"120"," Kyrgyzstan","0.45","","0.41","","0.41","","0.46","","0.61","","0.50","","0.50","","0.52","","0.47","","0.43",""
"37"," Latvia","0.27","","0.20","","0.22","","0.19","","0.17","","0.17","","0.16","","0.16","","0.15","","0.14",""
"92"," Lebanon","0.35","","0.30","","0.26","","0.26","","0.29","","0.28","","0.30","","0.32","","0.33","","0.34",""
"105"," Libya","0.32","","0.29","","0.27","","0.51","","0.29","","0.37","","0.48","","0.47","","0.47","","0.37",""
"34"," Lithuania","0.25","","0.21","","0.20","","0.17","","0.17","","0.15","","0.14","","0.14","","0.14","","0.14",""
"23"," Luxembourg","0.24","","0.30","","0.25","","0.24","","0.23","","0.21","","0.19","","0.18","","0.17","","0.17",""
"62"," Malaysia","0.31","","0.33","","0.33","","0.31","","0.30","","0.31","","0.31","","0.29","","0.28","","0.25",""
"28"," Malta","0.23","","0.25","","0.22","","0.22","","0.23","","0.19","","0.17","","0.11","","0.09","","0.09",""
"66"," Mauritius","0.19","","0.20","","0.19","","0.18","","0.18","","0.18","","0.18","","0.17","","0.17","","0.17",""
"74"," Mexico","0.24","","0.26","","0.25","","0.25","","0.25","","0.24","","0.22","","0.22","","0.21","","0.21",""
"90"," Moldova (Republic of)","0.79","","0.67","","0.58","","0.54","","0.53","","0.42","","0.44","","0.46","","0.45","","0.42",""
"99"," Mongolia","0.82","","0.73","","0.69","","0.65","","0.63","","0.61","","0.55","","0.51","","0.53","","0.54",""
"48"," Montenegro","0.00","","0.29","","0.31","","0.29","","0.28","","0.26","","0.25","","0.26","","0.22","","0.22",""
"121"," Morocco","0.23","","0.24","","0.22","","0.23","","0.23","","0.22","","0.22","","0.22","","0.22","","0.22",""
"181"," Mozambique","0.13","","0.10","","0.11","","0.12","","0.10","","0.11","","0.16","","0.20","","0.27","","0.23",""
"147"," Myanmar","0.16","","0.10","","0.04","","0.04","","0.06","","0.06","","0.07","","0.07","","0.08","","0.10",""
"130"," Namibia","0.17","","0.17","","0.17","","0.17","","0.16","","0.17","","0.16","","0.16","","0.17","","0.17",""
"142"," Nepal","0.09","","0.07","","0.08","","0.08","","0.09","","0.08","","0.10","","0.09","","0.13","","0.14",""
"8"," Netherlands","0.25","","0.24","","0.23","","0.21","","0.21","","0.21","","0.20","","0.20","","0.20","","0.19",""
"14"," New Zealand","0.28","","0.27","","0.22","","0.21","","0.22","","0.21","","0.21","","0.20","","0.19","","0.19",""
"128"," Nicaragua","0.21","","0.20","","0.19","","0.19","","0.17","","0.16","","0.16","","0.17","","0.17","","0.16",""
"189"," Niger","0.08","","0.07","","0.10","","0.10","","0.13","","0.11","","0.12","","0.11","","0.10","","0.10",""
"161"," Nigeria","0.12","","0.10","","0.07","","0.07","","0.07","","0.09","","0.09","","0.08","","0.09","","0.09",""
"82"," North Macedonia","0.49","","0.46","","0.36","","0.38","","0.37","","0.32","","0.29","","0.27","","0.26","","0.27",""
"1"," Norway","0.13","","0.13","","0.13","","0.13","","0.12","","0.12","","0.12","","0.12","","0.11","","0.11",""
"60"," Oman","0.21","","0.25","","0.31","","0.36","","0.37","","0.37","","0.38","","0.39","","0.36","","0.38",""
"154"," Pakistan","0.20","","0.19","","0.18","","0.18","","0.17","","0.17","","0.17","","0.17","","0.18","","0.19",""
"57"," Panama","0.15","","0.17","","0.16","","0.15","","0.14","","0.14","","0.14","","0.13","","0.12","","0.11",""
"103"," Paraguay","0.08","","0.08","","0.08","","0.08","","0.08","","0.08","","0.08","","0.08","","0.09","","0.10",""
"79"," Peru","0.16","","0.14","","0.14","","0.15","","0.14","","0.13","","0.14","","0.14","","0.14","","0.13",""
"107"," Philippines","0.21","","0.18","","0.15","","0.15","","0.14","","0.15","","0.15","","0.15","","0.16","","0.16",""
"35"," Poland","0.53","","0.47","","0.38","","0.36","","0.35","","0.34","","0.31","","0.30","","0.31","","0.30",""
"38"," Portugal","0.22","","0.22","","0.17","","0.17","","0.17","","0.16","","0.16","","0.17","","0.17","","0.17",""
"45"," Qatar","0.34","","0.36","","0.25","","0.25","","0.27","","0.26","","0.27","","0.27","","0.27","","0.27",""
"49"," Romania","0.38","","0.31","","0.22","","0.23","","0.22","","0.19","","0.18","","0.17","","0.16","","0.16",""
"52"," Russian Federation","0.81","","0.60","","0.52","","0.52","","0.50","","0.48","","0.47","","0.48","","0.48","","0.48",""
"40"," Saudi Arabia","0.27","","0.28","","0.34","","0.32","","0.33","","0.32","","0.34","","0.34","","0.33","","0.34",""
"168"," Senegal","0.15","","0.16","","0.16","","0.17","","0.15","","0.16","","0.17","","0.17","","0.18","","0.17",""
"64"," Serbia","0.75","","0.65","","0.52","","0.56","","0.50","","0.50","","0.43","","0.50","","0.49","","0.49",""
"11"," Singapore","0.21","","0.14","","0.12","","0.12","","0.11","","0.10","","0.10","","0.10","","0.10","","0.10",""
"39"," Slovakia","0.44","","0.35","","0.26","","0.24","","0.22","","0.22","","0.20","","0.19","","0.19","","0.20",""
"22"," Slovenia","0.32","","0.30","","0.27","","0.27","","0.27","","0.26","","0.23","","0.22","","0.23","","0.21",""
"114"," South Africa","0.66","","0.72","","0.70","","0.65","","0.66","","0.66","","0.67","","0.62","","0.62","","0.62",""
"185"," South Sudan","0.00","","0.00","","0.00","","0.00","","0.44","","0.34","","0.34","","0.50","","0.47","","0.41",""
"25"," Spain","0.23","","0.24","","0.18","","0.18","","0.18","","0.17","","0.16","","0.17","","0.16","","0.16",""
"72"," Sri Lanka","0.10","","0.11","","0.07","","0.08","","0.08","","0.07","","0.08","","0.09","","0.09","","0.09",""
"170"," Sudan","0.07","","0.10","","0.10","","0.10","","0.10","","0.09","","0.09","","0.10","","0.11","","0.11",""
"97"," Suriname","0.32","","0.28","","0.23","","0.23","","0.25","","0.24","","0.24","","0.26","","0.26","","0.25",""
